Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2024-03-19T16:00:00Z,VIXM,16.06,-4869,Market,Filled,-78196.14,"zscore = -1.9732887787189544; slope = 0.704400281285765; (mean diversion) - Warning: No quote information available at 03/19/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-03-19T16:00:00Z,VIXY,53.76,-13895,Market,Filled,-746995.2,"zscore = -1.9732887787189544; slope = 0.704400281285765; (mean diversion) - Warning: No quote information available at 03/19/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-03-19T16:00:00Z,VIXM,16.06,-4869,Market,Filled,-78196.14,"zscore = -1.9732887787189544; slope = 0.704400281285765; (mean diversion) - Warning: No quote information available at 03/19/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-03-20T19:00:00Z,VIXM,15.9,9738,Market,Filled,154834.2,"Take Profit, zscore = -2.244184722515941, slope = 0.6566155308139562 - Warning: No quote information available at 03/20/2024 15:00:00 America/New_York, order filled using TradeBar data" 
2024-03-20T19:00:00Z,VIXY,52.68,27790,Market,Filled,1463977.2,"Take Profit, zscore = -2.244184722515941, slope = 0.6566155308139562 - Warning: No quote information available at 03/20/2024 15:00:00 America/New_York, order filled using TradeBar data" 
2024-04-02T14:00:00Z,VIXM,16.205,-12344,Market,Filled,-200034.52,"Take Profit, zscore = -0.853039198856229, slope = 1.3839646220968012 - Warning: No quote information available at 04/02/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-04-02T14:00:00Z,VIXY,54.78,-29916,Market,Filled,-1638798.48,"Take Profit, zscore = -0.853039198856229, slope = 1.3839646220968012 - Warning: No quote information available at 04/02/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-04-03T15:00:00Z,VIXY,52.92,-12686,Market,Filled,-671343.12,"zscore = -1.1613708878232882; slope = 1.3500703451077787; (mean diversion) - Warning: No quote information available at 04/03/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-04-03T15:00:00Z,VIXM,15.9512,3808,Market,Filled,60742.1696,"zscore = -1.1613708878232882; slope = 1.3500703451077787; (mean diversion) - Warning: No quote information available at 04/03/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-04-03T15:00:00Z,VIXY,52.92,-12686,Market,Filled,-671343.12,"zscore = -1.1613708878232882; slope = 1.3500703451077787; (mean diversion) - Warning: No quote information available at 04/03/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-04-03T15:00:00Z,VIXM,15.9512,3808,Market,Filled,60742.1696,"zscore = -1.1613708878232882; slope = 1.3500703451077787; (mean diversion) - Warning: No quote information available at 04/03/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-05-03T14:00:00Z,VIXM,15.03,-7616,Market,Filled,-114468.48,"Take Profit, zscore = 0.7415204050855414, slope = 1.5238385902804201 - Warning: No quote information available at 05/03/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-05-03T14:00:00Z,VIXY,51.04,25372,Market,Filled,1294986.88,"Take Profit, zscore = 0.7415204050855414, slope = 1.5238385902804201 - Warning: No quote information available at 05/03/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-06-05T17:00:00Z,VIXY,45.12,-14759,Market,Filled,-665926.08,"zscore = -1.1571881800017145; slope = 1.516667650881773; (mean diversion) - Warning: No quote information available at 06/05/2024 13:00:00 America/New_York, order filled using TradeBar data" 
2024-06-05T17:00:00Z,VIXM,14.035,6147,Market,Filled,86273.145,"zscore = -1.1571881800017145; slope = 1.516667650881773; (mean diversion) - Warning: No quote information available at 06/05/2024 13:00:00 America/New_York, order filled using TradeBar data" 
2024-06-05T17:00:00Z,VIXY,45.12,-14759,Market,Filled,-665926.08,"zscore = -1.1571881800017145; slope = 1.516667650881773; (mean diversion) - Warning: No quote information available at 06/05/2024 13:00:00 America/New_York, order filled using TradeBar data" 
2024-06-05T17:00:00Z,VIXM,14.035,6147,Market,Filled,86273.145,"zscore = -1.1571881800017145; slope = 1.516667650881773; (mean diversion) - Warning: No quote information available at 06/05/2024 13:00:00 America/New_York, order filled using TradeBar data" 
2024-06-07T16:00:00Z,VIXM,14.09,-12294,Market,Filled,-173222.46,"Take Profit, zscore = -2.623986223818314, slope = 1.544200710721215 - Warning: No quote information available at 06/07/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-06-07T16:00:00Z,VIXY,44.08,29518,Market,Filled,1301153.44,"Take Profit, zscore = -2.623986223818314, slope = 1.544200710721215 - Warning: No quote information available at 06/07/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-06-07T17:00:00Z,VIXY,43.84,-15367,Market,Filled,-673689.28,"zscore = -2.239082957920553; slope = 1.548483659089462; (mean diversion) - Warning: No quote information available at 06/07/2024 13:00:00 America/New_York, order filled using TradeBar data" 
2024-06-07T17:00:00Z,VIXM,13.982,6720,Market,Filled,93959.04,"zscore = -2.239082957920553; slope = 1.548483659089462; (mean diversion) - Warning: No quote information available at 06/07/2024 13:00:00 America/New_York, order filled using TradeBar data" 
2024-06-07T17:00:00Z,VIXY,43.84,-15367,Market,Filled,-673689.28,"zscore = -2.239082957920553; slope = 1.548483659089462; (mean diversion) - Warning: No quote information available at 06/07/2024 13:00:00 America/New_York, order filled using TradeBar data" 
2024-06-07T17:00:00Z,VIXM,13.982,6720,Market,Filled,93959.04,"zscore = -2.239082957920553; slope = 1.548483659089462; (mean diversion) - Warning: No quote information available at 06/07/2024 13:00:00 America/New_York, order filled using TradeBar data" 
2024-06-27T15:00:00Z,VIXM,14.3399,-13440,Market,Filled,-192728.256,"Take Profit, zscore = -2.2889063814623962, slope = 1.63990187257648 - Warning: No quote information available at 06/27/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-06-27T15:00:00Z,VIXY,42.98,30734,Market,Filled,1320947.32,"Take Profit, zscore = -2.2889063814623962, slope = 1.63990187257648 - Warning: No quote information available at 06/27/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-06-27T16:00:00Z,VIXY,43.16,-15581,Market,Filled,-672475.96,"zscore = -2.14537933473005; slope = 1.6400062991596764; (mean diversion) - Warning: No quote information available at 06/27/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-06-27T16:00:00Z,VIXM,14.34,7708,Market,Filled,110532.72,"zscore = -2.14537933473005; slope = 1.6400062991596764; (mean diversion) - Warning: No quote information available at 06/27/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-06-27T16:00:00Z,VIXY,43.16,-15581,Market,Filled,-672475.96,"zscore = -2.14537933473005; slope = 1.6400062991596764; (mean diversion) - Warning: No quote information available at 06/27/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-06-27T16:00:00Z,VIXM,14.34,7708,Market,Filled,110532.72,"zscore = -2.14537933473005; slope = 1.6400062991596764; (mean diversion) - Warning: No quote information available at 06/27/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-07-01T19:00:00Z,VIXM,14.0516,-15416,Market,Filled,-216619.4656,"Take Profit, zscore = -1.8253578373475188, slope = 1.2961309754225734 - Warning: No quote information available at 07/01/2024 15:00:00 America/New_York, order filled using TradeBar data" 
2024-07-01T19:00:00Z,VIXY,41.96,31162,Market,Filled,1307557.52,"Take Profit, zscore = -1.8253578373475188, slope = 1.2961309754225734 - Warning: No quote information available at 07/01/2024 15:00:00 America/New_York, order filled using TradeBar data" 
2024-07-08T14:00:00Z,VIXM,14.08,-8622,Market,Filled,-121397.76,"Take Profit, zscore = -2.304801383914355, slope = 0.7345710096628614 - Warning: No quote information available at 07/08/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-07-08T14:00:00Z,VIXY,40.82,35476,Market,Filled,1448130.32,"Take Profit, zscore = -2.304801383914355, slope = 0.7345710096628614 - Warning: No quote information available at 07/08/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-07-08T15:00:00Z,VIXY,40.688,22729,Market,Filled,924797.552,"zscore = -2.330231200085616; slope = 0.7162023303871217; (mean reversion) - Warning: No quote information available at 07/08/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-07-08T15:00:00Z,VIXM,14.055,7587,Market,Filled,106635.285,"zscore = -2.330231200085616; slope = 0.7162023303871217; (mean reversion) - Warning: No quote information available at 07/08/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-07-08T15:00:00Z,VIXY,40.688,22729,Market,Filled,924797.552,"zscore = -2.330231200085616; slope = 0.7162023303871217; (mean reversion) - Warning: No quote information available at 07/08/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-07-08T15:00:00Z,VIXM,14.055,7587,Market,Filled,106635.285,"zscore = -2.330231200085616; slope = 0.7162023303871217; (mean reversion) - Warning: No quote information available at 07/08/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-07-17T16:00:00Z,VIXM,14.465,-15174,Market,Filled,-219491.91,"Take Profit, zscore = -0.7755092354358828, slope = 0.6381087749655852 - Warning: No quote information available at 07/17/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-07-17T16:00:00Z,VIXY,42.8,-45458,Market,Filled,-1945602.4,"Take Profit, zscore = -0.7755092354358828, slope = 0.6381087749655852 - Warning: No quote information available at 07/17/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-08-02T15:00:00Z,VIXY,61.28,-11808,Market,Filled,-723594.24,"zscore = 1.842033599654431; slope = 2.1367512276438596; (mean reversion) - Warning: No quote information available at 08/02/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-08-02T15:00:00Z,VIXM,16.208,8966,Market,Filled,145320.928,"zscore = 1.842033599654431; slope = 2.1367512276438596; (mean reversion) - Warning: No quote information available at 08/02/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-08-02T15:00:00Z,VIXY,61.28,-11808,Market,Filled,-723594.24,"zscore = 1.842033599654431; slope = 2.1367512276438596; (mean reversion) - Warning: No quote information available at 08/02/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-08-02T15:00:00Z,VIXM,16.208,8966,Market,Filled,145320.928,"zscore = 1.842033599654431; slope = 2.1367512276438596; (mean reversion) - Warning: No quote information available at 08/02/2024 11:00:00 America/New_York, order filled using TradeBar data" 
